,pr_station_id,bus_line_no,bus_line_no_seq,정류소명,표준정류장ID,시군명,정류소번호,관할관청,위치,WGS84위도,WGS84경도,버스노선구분
46,228000204,24,45,봉무3리,228000021,용인시,47570.0,경기도 용인시,경기도 광주시 도척면,37.1180333,127.1541,시내
47,228000204,24,46,도장,228000020,용인시,47211.0,경기도 용인시,경기도 광주시 도척면,37.12291670000001,127.1559,시내
48,228000204,24,47,극락정사,228001472,용인시,47374.0,경기도 용인시,경기도 용인시 처인구 남사면,37.12735,127.15516670000001,시내
49,228000204,24,48,산정동,228000019,용인시,47212.0,경기도 용인시,경기도 광주시 도척면,37.1353667,127.1533,시내
50,228000204,24,49,금호전기,228001473,용인시,47373.0,경기도 용인시,경기도 광주시 도척면,37.1391333,127.14855,시내
51,228000204,24,50,삼인동입구,228001474,용인시,47168.0,경기도 용인시,경기도 광주시 도척면,37.1436333,127.14553329999998,시내
52,228000204,24,51,북2리,228000066,용인시,47240.0,경기도 용인시,경기도 용인시 처인구 남사면,37.1453167,127.14211670000002,시내
53,228000204,24,52,한화리조트,228001496,용인시,47395.0,경기도 용인시,경기도 용인시 처인구 남사면,37.14535,127.13756670000001,시내
54,228000204,24,53,한원IC,233000169,화성시,37403.0,경기도 화성시,경기도 화성시 동탄면,37.1527333,127.12288329999998,시내
55,228000204,24,54,장지동,233000168,화성시,36808.0,경기도 화성시,경기도 화성시 동탄면,37.1551167,127.1179,시내
56,241317006,19-2,1,장지동,233000168,화성시,36808.0,경기도 화성시,경기도 화성시 동탄면,37.1551167,127.1179,마을
57,241317009,39,1,장지동,233000168,화성시,36808.0,경기도 화성시,경기도 화성시 동탄면,37.1551167,127.1179,마을
58,228000204,24,55,장지동,233000167,화성시,36809.0,경기도 화성시,경기도 화성시 동탄면,37.155866700000004,127.11501670000001,시내
59,241317006,19-2,2,장지동,233000167,화성시,36809.0,경기도 화성시,경기도 화성시 동탄면,37.155866700000004,127.11501670000001,마을
60,241317009,39,2,장지동,233000167,화성시,36809.0,경기도 화성시,경기도 화성시 동탄면,37.155866700000004,127.11501670000001,마을
61,228000204,24,56,롯데캐슬.제일풍경채,233003130,화성시,55526.0,,,37.157945,127.10897,시내
62,233000254,203,72,롯데캐슬.제일풍경채,233003130,화성시,55526.0,,,37.157945,127.10897,시내
63,241317006,19-2,10,롯데캐슬.제일풍경채,233003130,화성시,55526.0,,,37.157945,127.10897,마을
64,241317009,39,8,롯데캐슬.제일풍경채,233003130,화성시,55526.0,,,37.157945,127.10897,마을
65,228000204,24,57,자이파밀리에,233003131,화성시,55527.0,,,37.159393,127.10596299999999,시내
66,233000254,203,73,자이파밀리에,233003131,화성시,55527.0,,,37.159393,127.10596299999999,시내
67,241317006,19-2,11,자이파밀리에,233003131,화성시,55527.0,,,37.159393,127.10596299999999,마을
68,241317009,39,9,자이파밀리에,233003131,화성시,55527.0,,,37.159393,127.10596299999999,마을
69,228000204,24,58,꽃가마약수터,233000166,화성시,36810.0,경기도 화성시,경기도 화성시 동탄면,37.1591,127.09935,시내
70,228000204,24,59,롯데오산물류,223000209,오산시,24197.0,경기도 오산시,경기도 오산시 부산동,37.15885,127.09331670000002,시내
71,233000276,116-5,34,롯데오산물류,223000209,오산시,24197.0,경기도 오산시,경기도 오산시 부산동,37.15885,127.09331670000002,시내
72,228000204,24,60,락원식당앞,223000210,오산시,24196.0,경기도 오산시,경기도 오산시 부산동,37.1588167,127.09003329999999,시내
73,233000276,116-5,35,락원식당앞,223000210,오산시,24196.0,경기도 오산시,경기도 오산시 부산동,37.1588167,127.09003329999999,시내
74,228000204,24,61,오산장례식장,223000465,오산시,24141.0,경기도 오산시,경기도 오산시 부산동,37.15895,127.08553329999998,시내
75,233000276,116-5,36,오산장례식장,223000465,오산시,24141.0,경기도 오산시,경기도 오산시 부산동,37.15895,127.08553329999998,시내
76,234001570,116-2,41,오산장례식장,223000465,오산시,24141.0,경기도 오산시,경기도 오산시 부산동,37.15895,127.08553329999998,시내
77,241489008,9-1,46,오산장례식장,223000465,오산시,24141.0,경기도 오산시,경기도 오산시 부산동,37.15895,127.08553329999998,마을
78,228000204,24,62,문화예술회관.고용복지플러스센터,223000029,오산시,24162.0,경기도 오산시,경기도 오산시 오산동,37.1588167,127.07775,시내
79,241489008,9-1,47,문화예술회관.고용복지플러스센터,223000029,오산시,24162.0,경기도 오산시,경기도 오산시 오산동,37.1588167,127.07775,마을
80,228000204,24,63,종합운동장,223000028,오산시,24149.0,경기도 오산시,경기도 오산시 오산동,37.1568167,127.07443329999998,시내
81,241489008,9-1,48,종합운동장,223000028,오산시,24149.0,경기도 오산시,경기도 오산시 오산동,37.1568167,127.07443329999998,마을
82,228000204,24,64,팔각정,223000027,오산시,24122.0,경기도 오산시,경기도 오산시 오산동,37.15535,127.0696,시내
83,228000204,24,65,오산장터,223000051,오산시,24120.0,경기도 오산시,경기도 오산시 오산동,37.1541167,127.06851670000002,시내
84,241205011,3-2,50,오산장터,223000051,오산시,24120.0,경기도 오산시,경기도 오산시 오산동,37.1541167,127.06851670000002,마을
85,228000204,24,66,오색시장,223000101,오산시,24119.0,경기도 오산시,경기도 오산시 오산동,37.1524,127.06853329999998,시내
86,241205011,3-2,51,오색시장,223000101,오산시,24119.0,경기도 오산시,경기도 오산시 오산동,37.1524,127.06853329999998,마을
87,228000204,24,67,중원사거리,223000135,오산시,24112.0,경기도 오산시,경기도 오산시 오산동,37.1498333,127.06843329999998,시내
88,241205011,3-2,52,중원사거리,223000135,오산시,24112.0,경기도 오산시,경기도 오산시 오산동,37.1498333,127.06843329999998,마을
89,228000204,24,68,오산역환승센터1층(1승강장),223000537,오산시,24464.0,,,37.146,127.06725,시내
90,228000204,24,69,오산역.오산터미널,223000126,오산시,24107.0,경기도 오산시,경기도 오산시 원동,37.144433299999996,127.0686167,시내
91,233000276,116-5,52,오산역.오산터미널,223000126,오산시,24107.0,경기도 오산시,경기도 오산시 원동,37.144433299999996,127.0686167,시내
92,234001570,116-2,57,오산역.오산터미널,223000126,오산시,24107.0,경기도 오산시,경기도 오산시 원동,37.144433299999996,127.0686167,시내
93,228000204,24,70,중원사거리,223000125,오산시,24108.0,경기도 오산시,경기도 오산시 오산동,37.14985,127.06858329999999,시내
94,241205011,3-2,57,중원사거리,223000125,오산시,24108.0,경기도 오산시,경기도 오산시 오산동,37.14985,127.06858329999999,마을
95,241489008,9-1,2,중원사거리,223000125,오산시,24108.0,경기도 오산시,경기도 오산시 오산동,37.14985,127.06858329999999,마을
96,228000204,24,71,오색시장,223000141,오산시,24179.0,경기도 오산시,경기도 오산시 오산동,37.1513833,127.06863329999999,시내
97,241205011,3-2,58,오색시장,223000141,오산시,24179.0,경기도 오산시,경기도 오산시 오산동,37.1513833,127.06863329999999,마을
98,241489008,9-1,3,오색시장,223000141,오산시,24179.0,경기도 오산시,경기도 오산시 오산동,37.1513833,127.06863329999999,마을
99,228000204,24,72,재래시장앞,223000124,오산시,24109.0,경기도 오산시,경기도 오산시 오산동,37.1527167,127.0687,시내
100,241205011,3-2,59,재래시장앞,223000124,오산시,24109.0,경기도 오산시,경기도 오산시 오산동,37.1527167,127.0687,마을
101,241489008,9-1,4,재래시장앞,223000124,오산시,24109.0,경기도 오산시,경기도 오산시 오산동,37.1527167,127.0687,마을
102,228000204,24,73,오산장터,223000123,오산시,24110.0,경기도 오산시,경기도 오산시 오산동,37.15396670000001,127.06871670000001,시내
103,241205011,3-2,60,오산장터,223000123,오산시,24110.0,경기도 오산시,경기도 오산시 오산동,37.15396670000001,127.06871670000001,마을
104,241489008,9-1,5,오산장터,223000123,오산시,24110.0,경기도 오산시,경기도 오산시 오산동,37.15396670000001,127.06871670000001,마을
