장소명	위도	경도
동탄보건지소.우체국	37.207143	127.076158
나루마을.한화우림	37.195108	127.075347
솔빛마을.신도브래뉴	37.195998	127.07599
서해그랑블아파트	37.19878	127.070086
노작마을.한화우림	37.196266	127.077267
방교초.레이크자이더테라스	37.172655	127.101246
의료복합	37.18337	127.11532
제일풍경체.서연초	37.159194	127.113179
금호어울림2차	37.161134	127.100799
A85	37.161109	127.097043
A83	37.161128	127.093642
신미주아파트	37.18947	127.090206
에일린의뜰아파트	37.190082	127.086161
서연초.재일풍경채	37.159328	127.113186
LH1단지A6정문	37.217045	127.114482
파크푸르지오	37.216899	127.112746
다원초.파크자이	37.212333	127.111457
이지더원후문	37.210231	127.111778
한백고등학교	37.207897	127.114081
동탄파크자이정문	37.212226	127.111623
경기도시공사동탄사업단	37.165507	127.101552
여울보건지소	37.165031	127.095633
화남초	37.164737	127.095629
레이크자연앤푸르지오	37.165147	127.101298
기점대기(경유)	37.16431	127.092736
바이오밸리	37.172543	126.769407
교통안전공단	37.225432	126.767456
삼존3리	37.219483	126.765492
신미주SK뷰	37.215392	127.05228
신영통현대타운2단지	37.232314	127.056853
동탄제일병원	37.216853	127.078428
신경대학교입구	37.204405	126.838604
남양고	37.206118	126.825938
대방노블랜드3차	37.286977	126.816255
에코팜타운	37.288045	126.80906
문호교차로(경유)	37.278218	126.808126
수화교차로(경유)	37.254725	126.819571
유포1교(경유)	37.24824	126.840996
남양현대2차	37.200521	126.823464
삼부실교차로(경유)	37.234996	126.821872	
기산아파트입구	37.17554	126.935221
갈담초교입구	37.172991	126.933282
농협하나로마트	37.128841	126.91061
향남부영3단지	37.118968	126.911573
길성리입구	37.118122	126.958516
백토1리	37.117676	126.943835
하기등리	37.145678	126.935667
화성종합운동장	37.135273	126.919988
봉담한신아파트후문	37.215682	126.949127
봉담초	37.224103	126.947034
우방아파트앞	37.20157	127.007198
신한미지엔정문	37.201569	127.006386
신창2차비	37.209784	127.047673
